type;id;manufacturer;name;family;width_mm;height_mm;depth_mm;pixel_width;pixel_height;pitch_mm;weight_kg;power_max_w;power_average_w;receiving_card;ethernet_ports;total_capacity_pixels;max_width_pixels;max_height_pixels;bandwidth_8bit_pps;bandwidth_highbit_pps;hdr;three_d;low_latency;port_backup;controller_backup;bit_depths;frame_rates;source_url;max_load_kg;supported_modes;category;source_label;notes
cabinet;unilumin-upadiv-s-26;Unilumin;UpadIV-S 2.6 Indoor;;500;500;80;192;192;2,6;7,7;160;55;;;;;;;;;;;;;;;https://www.unilumin-usa.com/upadiv-s-specifications-sheet/;;;;Unilumin scheda UpadIV-S — https://www.unilumin-usa.com/upadiv-s-specifications-sheet/;Verifica documentale 19/09/2026. Indoor IP30 da produttore. Receiving card da verificare. Famiglia Upad IV-S presente nel catalogo DBpixelhouse UK, che descrive un lotto con valori diversi.
cabinet;roe-black-pearl-bp2v2;ROE Visual;Black Pearl BP2V2 2.84 Indoor;;500;500;90;176;176;2,84;9,35;190;95;Brompton / Megapixel (non NovaStar);;;;;;;;;;;;;;https://www.roevisual.com/uploads/files/Product%20File/Black%20Pearl/bp2v2-brochure-en-feb.-3-2024.pdf;;;;ROE BP2V2 brochure 03/02/2024 — https://www.roevisual.com/uploads/files/Product%20File/Black%20Pearl/bp2v2-brochure-en-feb.-3-2024.pdf;Verifica documentale 19/09/2026. Indoor. NON compatibile direttamente con controller NovaStar nelle piattaforme documentate. Usare nell’app per geometria, peso e consumi, non per validare il cablaggio NovaStar.
cabinet;roe-cb3-mkii;ROE Visual;Carbon CB3 MKII;;600;1200;79;160;320;3,75;14;600;300;Brompton / Megapixel / Evision (non NovaStar);;;;;;;;;;;;;;https://www.roevisual.com/uploads/files/Product%20File/CB%20MK%E2%85%A1/cb-mkll-brochure-dec-1-2023.pdf;;;;ROE Carbon MKII brochure 01/12/2023 — https://www.roevisual.com/uploads/files/Product%20File/CB%20MK%E2%85%A1/cb-mkll-brochure-dec-1-2023.pdf;Verifica documentale 19/09/2026. Outdoor IP65. NON compatibile direttamente con NovaStar nelle piattaforme documentate. Non usare per validare cablaggi NovaStar.
cabinet;roe-cb5-mkii;ROE Visual;Carbon CB5 MKII;;600;1200;79;104;208;5,77;12,2;480;240;Brompton / Megapixel / Evision (non NovaStar);;;;;;;;;;;;;;https://www.roevisual.com/uploads/files/Product%20File/CB%20MK%E2%85%A1/cb-mkll-brochure-dec-1-2023.pdf;;;;ROE Carbon MKII brochure 01/12/2023 — https://www.roevisual.com/uploads/files/Product%20File/CB%20MK%E2%85%A1/cb-mkll-brochure-dec-1-2023.pdf;Verifica documentale 19/09/2026. Outdoor IP65. NON compatibile direttamente con NovaStar nelle piattaforme documentate. Non usare per validare cablaggi NovaStar.
cabinet;prolights-omegax39b;PROLIGHTS;OmegaPix 39B Indoor;;500;500;90,6;128;128;3,9;9;160;53;NovaStar A8s;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;;PROLIGHTS scheda OMEGAX39B — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Indoor IP30. Valori per cabinet dalla scheda ufficiale.
cabinet;prolights-omegax39t;PROLIGHTS;OmegaPix 39T Outdoor;;500;500;90,6;128;128;3,9;9;210;70;NovaStar A8s;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39T;;;;PROLIGHTS scheda OMEGAX39T — https://www.prolights.it/en/product/OMEGAX39T;Verifica documentale 19/09/2026. Outdoor temporaneo IP65. Valori per cabinet dalla scheda ufficiale.
sending_card;novastar-vx400;NovaStar;VX400;VX;;;;;;;;;;;4;2600000;10240;8192;39000000;;false;false;true;true;true;8;50|60;https://oss.novastar.tech/uploads/2024/07/VX400-All-in-One-Controller-Specifications-V1.2.0.pdf;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Processore e sender all-in-one. Profilo 8 bit. HDR e 3D non abilitati nel profilo.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx600;NovaStar;VX600;VX;;;;;;;;;;;6;3900000;10240;8192;39000000;;false;false;true;true;true;8;50|60;https://oss.novastar.tech/uploads/2023/11/VX600-All-in-One-Controller-Specifications-V1.6.0.pdf;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Processore e sender all-in-one. Profilo della scheda V1.6.0, 8 bit. HDR e 3D non abilitati.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx400-pro;NovaStar;VX400 Pro;VX;;;;;;;;;;;4;2600000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. L’app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nell’app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx600-pro;NovaStar;VX600 Pro;VX;;;;;;;;;;;6;3900000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. L’app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nell’app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx1000-pro;NovaStar;VX1000 Pro;VX;;;;;;;;;;;10;6500000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. L’app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nell’app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx2000-pro;NovaStar;VX2000 Pro;VX;;;;;;;;;;;20;13000000;16384;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. L’app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nell’app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-mx40-pro;NovaStar;MX40 Pro;MX/COEX;;;;;;;;;;;20;9000000;16384;16384;39583320;19791660;true;true;true;true;false;8|10|12;50|60;https://oss.novastar.tech/uploads/2025/10/MX40-Pro-LED-Display-Controller-Specifications-V1.5.0.pdf;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. COEX. Profilo delle 20 porte fisiche, non dell’espansione ottica a 40 porte. Budget 8 bit 659722 px/porta, 10/12 bit conservativo 329861 px/porta a 60 Hz. Modalità 10 bit 494791 px/porta con A10s Pro/A8s Pro non modellata. Backup fra porte verificato; backup fra controller non verificato, disabilitato nel profilo. HDR/3D/low latency soggetti ai vincoli della scheda e della receiving card.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalità del dispositivo. Capacità massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
accessory;prolights-oxxj;PROLIGHTS;OXXJ — Giunto per 4 cabinet OmegaPix/SigmaPix;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;plate;PROLIGHTS — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Foro M10. Compatibilità indicata dalla pagina OmegaPix. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxcj85;PROLIGHTS;OXCJ85 — Piastra curva concava 5° OmegaPix;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;plate;PROLIGHTS — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Piastra dedicata, non universale. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxcj95;PROLIGHTS;OXCJ95 — Piastra curva convessa 5° OmegaPix;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;plate;PROLIGHTS — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Piastra dedicata, non universale. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxbs21;PROLIGHTS;OXBS21 — Supporto verticale posteriore 2 in 1;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;rigging;PROLIGHTS — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Elemento del sistema ground stack OmegaPix. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxdcl01;PROLIGHTS;OXDCL01 — Cavo dati OmegaPix 1.4 m;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;connector;PROLIGHTS — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. RJ45 Seetronic IP65. Verificare generazione dei connettori. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxacl01;PROLIGHTS;OXACL01 — Cavo alimentazione OmegaPix 1.4 m;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;connector;PROLIGHTS — https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Seetronic. Verificare generazione dei connettori. Peso non documentato: da completare, non equivale a zero.
flybar;prolights-oxhgb01;PROLIGHTS;OXHGB01 Fly bar / Ground bar;;500;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;hanging|ground;;https://www.prolights.it/en/product/OMEGAX39B;"Verifica documentale 19/09/2026. PROLIGHTS: per una colonna OmegaPix. Larghezza 500 mm indica il passo operativo di una colonna, non l’ingombro meccanico certificato. INCOMPLETO: peso e portata kg non documentati; non usare per verifiche di carico prima di completare. Non dedurre la portata dal numero massimo di cabinet."
flybar;absen-pl-v2-single-bar;Absen;PL V2 Single Hanging Bar;;500;;;;;;;;;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;hanging;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;"Verifica documentale 19/09/2026. Absen: barra per una colonna PL V2. Passo operativo 500 mm. INCOMPLETO: peso e portata kg non documentati; non usare per verifiche di carico prima di completare. Non dedurre la portata dal numero massimo di cabinet."
flybar;absen-pl-v2-double-bar;Absen;PL V2 Double Hanging Bar;;1000;;;;;;;;;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;hanging;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;"Verifica documentale 19/09/2026. Absen: barra doppia PL V2. Passo operativo 1000 mm. INCOMPLETO: peso e portata kg non documentati; non usare per verifiche di carico prima di completare. Non dedurre la portata dal numero massimo di cabinet."
accessory;novastar-cvt10;NovaStar;CVT10 Fiber Converter;;;;;;;;2,1;;;;;;;;;;;;;;;;;https://oss.novastar.tech/uploads/2023/08/CVT10-Fiber-Converter-Specifications-V1.3.1.pdf;;;other;NovaStar — https://oss.novastar.tech/uploads/2023/08/CVT10-Fiber-Converter-Specifications-V1.3.1.pdf;Verifica documentale 19/09/2026. Convertitore fibra/dati, non processore e non capacità pixel aggiuntiva. Scegliere variante S/M e moduli ottici compatibili. Peso netto.
