type;id;manufacturer;name;family;width_mm;height_mm;depth_mm;pixel_width;pixel_height;pitch_mm;weight_kg;power_max_w;power_average_w;receiving_card;ethernet_ports;total_capacity_pixels;max_width_pixels;max_height_pixels;bandwidth_8bit_pps;bandwidth_highbit_pps;hdr;three_d;low_latency;port_backup;controller_backup;bit_depths;frame_rates;source_url;max_load_kg;supported_modes;category;source_label;notes
sending_card;novastar-vx600-pro;NovaStar;VX600 Pro;VX;;;;;;;;;;;6;3900000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. Lâ€™app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nellâ€™app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx1000-pro;NovaStar;VX1000 Pro;VX;;;;;;;;;;;10;6500000;10240;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. Lâ€™app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nellâ€™app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-vx2000-pro;NovaStar;VX2000 Pro;VX;;;;;;;;;;;20;13000000;16384;8192;39000000;;false;true;true;true;true;8;50|60;https://www.novastar.tech/product/detail.html?catid=3&id=34;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. Serie VX Pro, distinta da VX classica. Profilo uscita 8 bit, budget 650000 pixel/porta a 60 Hz. HDR non verificato e disabilitato nel profilo. Ingressi 10/12 bit non equivalgono a uscita 10/12 bit. Lâ€™app applica alla famiglia VX il rettangolo contenitore, mentre VX Pro supporta carico per cabinet: verifica nellâ€™app NovaStar.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
sending_card;novastar-mx40-pro;NovaStar;MX40 Pro;MX/COEX;;;;;;;;;;;20;9000000;16384;16384;39583320;19791660;true;true;true;true;false;8|10|12;50|60;https://oss.novastar.tech/uploads/2025/10/MX40-Pro-LED-Display-Controller-Specifications-V1.5.0.pdf;;;;NovaStar documentazione ufficiale;"Verifica documentale 19/09/2026. COEX. Profilo delle 20 porte fisiche, non dellâ€™espansione ottica a 40 porte. Budget 8 bit 659722 px/porta, 10/12 bit conservativo 329861 px/porta a 60 Hz. ModalitÃ  10 bit 494791 px/porta con A10s Pro/A8s Pro non modellata. Backup fra porte verificato; backup fra controller non verificato, disabilitato nel profilo. HDR/3D/low latency soggetti ai vincoli della scheda e della receiving card.  Profilo limitato a 50/60 Hz; non rappresenta tutte le modalitÃ  del dispositivo. CapacitÃ  massima globale e per porta non sono intercambiabili. Banda pps derivata dal budget pixel a 60 Hz."
flybar;yestech-mg7s-aluminum-hanging-beam;Yestech;MG7S Aluminum Hanging Beam;;500;;;;;;1;;;;;;;;;;;;;;;;;;200;hanging|ground;;P3.9MG7SO21 User manual;Utilizzabile sospesa o in appoggio
flybar;infiled-er-flybar;Infiled;Infiled Er Aluminum Hanging Beam;;500;20;68;;;;4;;;;;;;;;;;;;;;;;;;hanging;;;
flybar;absen-pl-v2-single-bar;Absen;PL V2 Single Hanging Bar;;500;;;;;;;;;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;hanging;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;"Verifica documentale 19/09/2026. Absen: barra per una colonna PL V2. Passo operativo 500 mm. INCOMPLETO: peso e portata kg non documentati; non usare per verifiche di carico prima di completare. Non dedurre la portata dal numero massimo di cabinet."
flybar;absen-pl-v2-double-bar;Absen;PL V2 Double Hanging Bar;;1000;;;;;;;;;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;hanging;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;"Verifica documentale 19/09/2026. Absen: barra doppia PL V2. Passo operativo 1000 mm. INCOMPLETO: peso e portata kg non documentati; non usare per verifiche di carico prima di completare. Non dedurre la portata dal numero massimo di cabinet."
flybar;prolights-oxhgb01;PROLIGHTS;OXHGB01 Fly bar / Ground bar;;500;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;hanging|ground;;https://www.prolights.it/en/product/OMEGAX39B;"Verifica documentale 19/09/2026. PROLIGHTS: per una colonna OmegaPix. Larghezza 500 mm indica il passo operativo di una colonna, non lâ€™ingombro meccanico certificato. INCOMPLETO: peso e portata kg non documentati; non usare per verifiche di carico prima di completare. Non dedurre la portata dal numero massimo di cabinet."
cabinet;yestech-mg7s-39-outdoor;Yestech;MG7S 3.9 Outdoor;;500;500;73;128;128;3,9;7,4;210;150;Nova A8s-N;;;;;;;;;;;;;;;;;;Yestech MG7S 3,9 Outdoor;Receiving card operativa A8s-N
cabinet;infiled-er-46-50-100;Infiled;Infiled ER 4,6 50x100;;500;1000;68;108;216;4,6;12;300;120;Nova A5;;;;;;;;;;;;;;;;;;;
cabinet;infiled-er-46-50-50;Infiled;Infiled ER 4,6 50x50;;500;500;68;108;108;4,6;6,5;150;50;Nova A5;;;;;;;;;;;;;;;;;;;
cabinet;absen-pl19-plus-v2;Absen;PL1.9 Plus V2;;500;500;78;256;256;1,95;7,5;175;58,75;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8â€“9, distribuito da Prase â€” https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/mÂ² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl25-plus-v2;Absen;PL2.5 Plus V2;;500;500;78;200;200;2,5;7,5;145;47,5;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8â€“9, distribuito da Prase â€” https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/mÂ² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl29-plus-v2;Absen;PL2.9 Plus V2;;500;500;78;168;168;2,97;7,5;135;45;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8â€“9, distribuito da Prase â€” https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/mÂ² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl39-plus-v2-xl;Absen;PL3.9 Plus V2 500x1000;;500;1000;78;128;256;3,9;12;270;90;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8â€“9, distribuito da Prase â€” https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Indoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/mÂ² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl39-pro-v2;Absen;PL3.9 Pro V2;;500;500;78;128;128;3,9;8;180;60;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8â€“9, distribuito da Prase â€” https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Outdoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/mÂ² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;absen-pl39-pro-v2-xl;Absen;PL3.9 Pro V2 500x1000;;500;1000;78;128;256;3,9;12,5;360;120;;;;;;;;;;;;;;;https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;;;;Absen manuale PL V2 V1.2, pp. 8â€“9, distribuito da Prase â€” https://www.prase.it/wp-content/uploads/PL-V2-series-user-manual-V1.2.pdf;Verifica documentale 19/09/2026. Outdoor. Valori riferiti al manuale V1.2: altre revisioni differiscono. Consumi convertiti da W/mÂ² a W/cabinet. Receiving card da verificare sul lotto.
cabinet;unilumin-upadiv-19;Unilumin;UpadIV1.9 Indoor;;500;500;70,1;256;256;1,9;6,3;120;40;;;;;;;;;;;;;;;https://www.unilumin.com/media/upload/UpadIV.pdf;;;;Unilumin brochure UpadIV 1.9/2.6 â€” https://www.unilumin.com/media/upload/UpadIV.pdf;Verifica documentale 19/09/2026. Indoor IP30. Revisione brochure con 120/40 W. Receiving card da verificare.
cabinet;unilumin-upadiv-26;Unilumin;UpadIV2 2.6 Indoor (150 W);;500;500;70,1;192;192;2,6;6,3;150;50;;;;;;;;;;;;;;;https://www.unilumin.com/media/upload/UpadIV.pdf;;;;Unilumin brochure UpadIV 1.9/2.6 â€” https://www.unilumin.com/media/upload/UpadIV.pdf;Verifica documentale 19/09/2026. Indoor IP30. Variante 150/50 W e 7680 Hz. Non confondere con revisioni 120/40 W, LiWe o U-shield. Receiving card da verificare.
cabinet;unilumin-upadiv-s-26;Unilumin;UpadIV-S 2.6 Indoor;;500;500;80;192;192;2,6;7,7;160;55;;;;;;;;;;;;;;;https://www.unilumin-usa.com/upadiv-s-specifications-sheet/;;;;Unilumin scheda UpadIV-S â€” https://www.unilumin-usa.com/upadiv-s-specifications-sheet/;Verifica documentale 19/09/2026. Indoor IP30 da produttore. Receiving card da verificare. Famiglia Upad IV-S presente nel catalogo DBpixelhouse UK, che descrive un lotto con valori diversi.
cabinet;prolights-omegax39b;PROLIGHTS;OmegaPix 39B Indoor;;500;500;90,6;128;128;3,9;9;160;53;NovaStar A8s;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;;PROLIGHTS scheda OMEGAX39B â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Indoor IP30. Valori per cabinet dalla scheda ufficiale.
cabinet;prolights-omegax39t;PROLIGHTS;OmegaPix 39T Outdoor;;500;500;90,6;128;128;3,9;9;210;70;NovaStar A8s;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39T;;;;PROLIGHTS scheda OMEGAX39T â€” https://www.prolights.it/en/product/OMEGAX39T;Verifica documentale 19/09/2026. Outdoor temporaneo IP65. Valori per cabinet dalla scheda ufficiale.
accessory;yestech-mg7s-connecting-piece;Yestech;MG7S Connecting Plate;;;;;;;;0,4;;;;;;;;;;;;;;;;;;;;;plate;Piastra di collegamento
accessory;prolights-oxxj;PROLIGHTS;OXXJ âGiunto per 4 cabinet OmegaPix/SigmaPix;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;plate;PROLIGHTS â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Foro M10. CompatibilitÃ  indicata dalla pagina OmegaPix. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxcj85;PROLIGHTS;OXCJ85 â€” Piastra curva concava 5Â° OmegaPix;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;plate;PROLIGHTS â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Piastra dedicata, non universale. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxcj95;PROLIGHTS;OXCJ95 â€” Piastra curva convessa 5Â° OmegaPix;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;plate;PROLIGHTS â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Piastra dedicata, non universale. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxbs21;PROLIGHTS;OXBS21 â€” Supporto verticale posteriore 2 in 1;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;rigging;PROLIGHTS â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Elemento del sistema ground stack OmegaPix. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxdcl01;PROLIGHTS;OXDCL01 â€” Cavo dati OmegaPix 1.4 m;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;connector;PROLIGHTS â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. RJ45 Seetronic IP65. Verificare generazione dei connettori. Peso non documentato: da completare, non equivale a zero.
accessory;prolights-oxacl01;PROLIGHTS;OXACL01 â€” Cavo alimentazione OmegaPix 1.4 m;;;;;;;;;;;;;;;;;;;;;;;;;https://www.prolights.it/en/product/OMEGAX39B;;;connector;PROLIGHTS â€” https://www.prolights.it/en/product/OMEGAX39B;Verifica documentale 19/09/2026. Seetronic. Verificare generazione dei connettori. Peso non documentato: da completare, non equivale a zero.
flybar;infiled-er-footbar;Infiled;Infiled Er Aluminum Footbar;;1000;20;68;;;;4;;;;;;;;;;;;;;;;;;;hanging;;;
